StateFIPS,CountyFIPS,Name,Total,Employed,Unemployed
13,287,"Turner County, GA",3236,3024,212
13,289,"Twiggs County, GA",2950,2690,260
13,291,"Union County, GA",10451,9949,502
13,293,"Upson County, GA",11143,10415,728
13,295,"Walker County, GA",29938,28247,1691
13,297,"Walton County, GA",43382,41222,2160
13,299,"Ware County, GA",15484,14637,847
13,301,"Warren County, GA",2700,2510,190
13,303,"Washington County, GA",7184,6723,461
13,305,"Wayne County, GA",11296,10512,784
13,307,"Webster County, GA",967,883,84
13,309,"Wheeler County, GA",1734,1576,158
13,311,"White County, GA",14481,13801,680
13,313,"Whitfield County, GA",44742,41968,2774
13,315,"Wilcox County, GA",2720,2521,199
13,317,"Wilkes County, GA",3708,3459,249
13,319,"Wilkinson County, GA",3650,3416,234
13,321,"Worth County, GA",9125,8586,539
15,001,"Hawaii County, HI",92474,89228,3246
15,003,"Honolulu County/city, HI",463370,450745,12625
15,007,"Kauai County, HI",36587,35468,1119
15,009,"Maui County, HI",86690,84117,2573
16,001,"Ada County, ID",225135,217925,7210
16,003,"Adams County, ID",1740,1624,116
16,005,"Bannock County, ID",41066,39648,1418
16,007,"Bear Lake County, ID",2808,2684,124
16,009,"Benewah County, ID",4007,3778,229
16,011,"Bingham County, ID",22783,22007,776
16,013,"Blaine County, ID",11843,11482,361
16,015,"Boise County, ID",3092,2935,157
16,017,"Bonner County, ID",18871,17879,992
16,019,"Bonneville County, ID",52377,50762,1615
16,021,"Boundary County, ID",5098,4841,257
16,023,"Butte County, ID",1293,1241,52
16,025,"Camas County, ID",658,635,23
16,027,"Canyon County, ID",93555,89622,3933
16,029,"Caribou County, ID",3792,3661,131
16,031,"Cassia County, ID",11589,11254,335
16,033,"Clark County, ID",393,381,12
16,035,"Clearwater County, ID",3045,2830,215
16,037,"Custer County, ID",2138,2033,105
16,039,"Elmore County, ID",10948,10511,437
16,041,"Franklin County, ID",6639,6442,197
16,043,"Fremont County, ID",7367,7127,240
16,045,"Gem County, ID",7723,7373,350
16,047,"Gooding County, ID",7997,7759,238
16,049,"Idaho County, ID",6334,5986,348
16,051,"Jefferson County, ID",12823,12439,384
16,053,"Jerome County, ID",11344,10998,346
16,055,"Kootenai County, ID",73762,70446,3316
16,057,"Latah County, ID",19892,19281,611
16,059,"Lemhi County, ID",3403,3202,201
16,061,"Lewis County, ID",1624,1524,100
16,063,"Lincoln County, ID",2639,2525,114
