FIPS_ST,FIPS_CTY,CPOPARST,AG_ARRST,JURFLAG,COVIND,GRNDTOT,P1TOT,P1VLNT,P1PRPTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,OTHASLT,FRGYCNT,FRAUD,EMBEZL,STLNPRP,VANDLSM,WEAPONS,COMVICE,SEXOFF,DRUGTOT,DRGSALE,COCSALE,MJSALE,SYNSALE,OTHSALE,DRGPOSS,COCPOSS,MJPOSS,SYNPOSS,OTHPOSS,GAMBLE,BOOKMKG,NUMBERS,OTGAMBL,OFAGFAM,DUI,LIQUOR,DRUNK,DISORDR,VAGRANT,ALLOTHR,SUSPICN,CURFEW,RUNAWAY
02,282,0,0,One cnty,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,290,0,0,One cnty,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,777,0,1,One cnty,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02,999,263543,2,One cnty,100.0,5839,908,529,379,16,50,20,443,157,115,91,16,1106,7,23,1,3,123,98,6,31,193,45,29,1,13,2,148,65,25,56,2,0,0,0,0,9,791,61,9,53,3,2414,0,0,0
04,001,71571,4,One cnty,85.3258,1252,127,45,82,0,0,1,44,10,47,23,1,74,5,7,2,3,30,10,0,8,338,51,30,12,9,1,284,4,199,54,27,0,0,0,0,31,144,61,0,120,0,285,0,0,7
04,003,125652,8,One cnty,89.6412,5008,1109,223,886,9,7,25,181,62,788,30,6,372,17,45,1,13,176,30,1,26,806,272,1,178,18,75,534,14,378,16,125,0,0,0,0,202,365,283,146,293,2,994,1,12,113
04,005,137398,6,Multiple counties,99.9199,9423,1536,329,1207,4,10,15,300,68,1099,15,24,1026,11,9,5,11,426,33,1,129,1117,100,19,31,6,44,1014,47,871,32,64,0,0,0,0,191,815,1004,0,1128,3,1974,0,0,4
04,007,53197,5,One cnty,100.0,3370,666,115,551,3,1,9,102,43,474,28,6,109,14,17,0,10,75,16,0,25,390,133,14,29,2,87,257,13,146,4,94,0,0,0,0,401,201,66,0,307,0,1057,0,0,15
04,009,37855,4,One cnty,100.0,1179,240,66,174,0,0,1,65,4,162,6,2,52,2,2,0,9,8,9,0,10,158,17,0,5,0,12,140,6,84,22,29,0,0,0,0,86,141,52,0,100,0,299,0,5,6
04,011,9808,2,One cnty,80.7606,555,37,4,33,0,0,0,4,2,31,0,0,7,1,2,0,2,16,3,0,5,39,5,0,2,1,2,34,0,24,0,9,0,0,0,0,41,174,28,0,48,0,149,0,0,2
04,012,20137,3,One cnty,88.6589,1122,133,48,85,0,2,2,44,26,46,12,1,97,17,6,0,3,25,24,1,6,274,68,0,50,3,14,207,16,160,12,19,0,0,0,0,6,149,13,0,78,0,288,0,0,0
